1.0	[0.0, 0.22389473684210529, 0.16273684210526315]
0.9	[0.2834736842105263, 0.3272105263157895, 0.29057894736842105]
0.8	[0.3312105263157894, 0.34621052631578947, 0.34300000000000014]
0.7	[0.36978947368421056, 0.3661052631578947, 0.37384210526315803]
0.6	[0.4044736842105266, 0.38489473684210523, 0.4001578947368421]
0.5	[0.41715789473684217, 0.41352631578947374, 0.41100000000000003]
0.4	[0.4384210526315791, 0.4399473684210527, 0.4329473684210526]
1.0	[0.12252631578947373, 0.2539473684210527, 0.21831578947368427]
1.0	[0.09226315789473687, 0.25352631578947366, 0.21589473684210528]
0.9	[0.3063684210526315, 0.32442105263157894, 0.3215789473684209]
1.0	[0.10363157894736844, 0.25721052631578956, 0.21236842105263157]
0.9	[0.30473684210526314, 0.31978947368421046, 0.30884210526315804]
0.8	[0.35505263157894745, 0.3760526315789474, 0.3548421052631579]
0.7	[0.3895263157894739, 0.397578947368421, 0.3925263157894738]
0.6	[0.4111578947368421, 0.40884210526315795, 0.39978947368421053]
0.5	[0.40005263157894755, 0.40878947368421054, 0.3841052631578946]
0.4	[0.43305263157894736, 0.4291052631578946, 0.43000000000000027]
