1.0	[0.09657894736842107, 0.35605263157894734, 0.23631578947368426]	[0.0, 0.027584972116301582, 0.01764993580215423]
0.9	[0.2768421052631579, 0.31105263157894736, 0.328421052631579]	[0.0, 0.02726670955808398, 0.017336296519542625]
0.8	[0.34078947368421053, 0.38263157894736854, 0.3676315789473684]	[0.0, 0.025903357483853046, 0.017350915647505023]
0.7000000000000001	[0.3994736842105263, 0.4189473684210526, 0.38105263157894737]	[0.0, 0.026408963991355318, 0.016611530072036595]
0.6000000000000001	[0.3810526315789474, 0.4250000000000001, 0.395]	[0.0, 0.028731888628098445, 0.018652202654441764]
0.5	[0.3726315789473683, 0.3878947368421052, 0.38578947368421057]	[0.0, 0.02697967315403236, 0.01894991555053241]
0.4	[0.4163157894736843, 0.3918421052631579, 0.41763157894736846]	[0.0, 0.025450243221141877, 0.017450765852551044]
0.30000000000000004	[0.39473684210526316, 0.4215789473684211, 0.42631578947368415]	[0.0, 0.027550851923466374, 0.018378675423324824]
1.0	[0.06919540229885057, 0.33563218390804594, 0.3001149425287356]	[0.0, 0.02589867719795238, 0.016146043307888942]
0.9	[0.30459770114942525, 0.3656321839080459, 0.3583908045977012]	[0.0, 0.02658384517721036, 0.016254378739594077]
0.8	[0.33241379310344826, 0.35045977011494256, 0.3716091954022988]	[0.0, 0.026710644525311484, 0.01657179364040018]
0.7000000000000001	[0.3960919540229885, 0.39436781609195404, 0.38402298850574706]	[0.0, 0.027108469125817842, 0.016376671869698444]
0.6000000000000001	[0.4113793103448276, 0.41804597701149426, 0.4143678160919541]	[0.0, 0.025443354025456427, 0.015405663694834653]
0.5	[0.43022988505747123, 0.44114942528735634, 0.44574712643678155]	[0.0, 0.026099450421104953, 0.01615501932714871]
0.4	[0.4486206896551724, 0.45988505747126424, 0.46804597701149414]	[0.0, 0.02590439392144341, 0.015821115048093692]
0.30000000000000004	[0.4477011494252873, 0.460919540229885, 0.4606896551724137]	[0.0, 0.026344902054696445, 0.017196722082339782]
0.2	[0.47609195402298843, 0.4642528735632185, 0.4650574712643678]	[0.0, 0.0260173345806634, 0.016656838524055834]
